q,p,v,l,timeOnRoad
0.1,0.0,3,5,3.09873402386577
0.1,0.0,3,10,5.0986798280142915
0.1,0.0,3,20,8.101022552744322
0.1,0.0,3,40,15.099022079453503
0.1,0.0,3,80,28.100016123506055
0.1,0.0,6,5,3.0999222041484384
0.1,0.0,6,10,4.100743362831858
0.1,0.0,6,20,6.099782223347683
0.1,0.0,6,40,10.099391377681139
0.1,0.0,6,80,16.101013482667316
0.1,0.0,12,5,3.0999132767279107
0.1,0.0,12,10,4.099945390558634
0.1,0.0,12,20,6.098156831699247
0.1,0.0,12,40,9.099852801806707
0.1,0.0,12,80,13.101144035250838
0.1,0.1,3,5,3.3134807454432074
0.1,0.1,3,10,5.242522231204527
0.1,0.1,3,20,8.42377107818089
0.1,0.1,3,40,15.426861566670063
0.1,0.1,3,80,29.193590188355817
0.1,0.1,6,5,3.3177009332420195
0.1,0.1,6,10,4.5065937764541495
0.1,0.1,6,20,6.604748532039826
0.1,0.1,6,40,10.320585134152958
0.1,0.1,6,80,16.83228251016022
0.1,0.1,12,5,3.3145005392426183
0.1,0.1,12,10,4.511179794765082
0.1,0.1,12,20,6.604349033605233
0.1,0.1,12,40,9.573166019239764
0.1,0.1,12,80,13.561144236374608
0.1,0.2,3,5,3.5648840726850795
0.1,0.2,3,10,5.47278724001956
0.1,0.2,3,20,8.899116646377626
0.1,0.2,3,40,16.094016385801734
0.1,0.2,3,80,30.42723606659084
0.1,0.2,6,5,3.5663398929617705
0.1,0.2,6,10,4.939938478110014
0.1,0.2,6,20,7.138304916404569
0.1,0.2,6,40,10.758084873062838
0.1,0.2,6,80,17.59256771420009
0.1,0.2,12,5,3.5645881685491774
0.1,0.2,12,10,4.936123097300261
0.1,0.2,12,20,7.138328530259366
0.1,0.2,12,40,10.192521506879096
0.1,0.2,12,80,14.387225631526114
0.1,0.30000000000000004,3,5,3.8795959851285455
0.1,0.30000000000000004,3,10,5.808911089332195
0.1,0.30000000000000004,3,20,9.458482500105294
0.1,0.30000000000000004,3,40,16.913095829064524
0.1,0.30000000000000004,3,80,31.788132469857317
0.1,0.30000000000000004,6,5,3.8745021599409966
0.1,0.30000000000000004,6,10,5.429395755095151
0.1,0.30000000000000004,6,20,7.755806021681411
0.1,0.30000000000000004,6,40,11.394593290392967
0.1,0.30000000000000004,6,80,18.397923692528888
0.1,0.30000000000000004,12,5,3.8746117154018678
0.1,0.30000000000000004,12,10,5.430463087813922
0.1,0.30000000000000004,12,20,7.75828643231999
0.1,0.30000000000000004,12,40,10.982851254875984
0.1,0.30000000000000004,12,80,15.468785938109958
0.1,0.4,3,5,4.265148073636619
0.1,0.4,3,10,6.276965766463395
0.1,0.4,3,20,10.12306512416691
0.1,0.4,3,40,17.85790830240741
0.1,0.4,3,80,33.31311655096821
0.1,0.4,6,5,4.271956507669406
0.1,0.4,6,10,6.005337465564739
0.1,0.4,6,20,8.506989044200981
0.1,0.4,6,40,12.263920316137066
0.1,0.4,6,80,19.417883704111482
0.1,0.4,12,5,4.264661961087655
0.1,0.4,12,10,6.007924459231026
0.1,0.4,12,20,8.510332685639446
0.1,0.4,12,40,11.977788502788503
0.1,0.4,12,80,16.85914686825054
0.1,0.5,3,5,4.791316167704701
0.1,0.5,3,10,6.932004311542265
0.1,0.5,3,20,10.959400644539686
0.1,0.5,3,40,19.01351576284164
0.1,0.5,3,80,35.11724682312918
0.1,0.5,6,5,4.781765653647425
0.1,0.5,6,10,6.751659732672391
0.1,0.5,6,20,9.472253064487475
0.1,0.5,6,40,13.492155968912954
0.1,0.5,6,80,20.79359691975563
0.1,0.5,12,5,4.780690146013812
0.1,0.5,12,10,6.747102542609667
0.1,0.5,12,20,9.477540267449228
0.1,0.5,12,40,13.313765701102282
0.1,0.5,12,80,18.683954348961517
0.1,0.6,3,5,5.506550727340545
0.1,0.6,3,10,7.876249083908193
0.1,0.6,3,20,12.09012474012474
0.1,0.6,3,40,20.487911627419713
0.1,0.6,3,80,37.23697777571352
0.1,0.6,6,5,5.503522112334391
0.1,0.6,6,10,7.784493064825025
0.1,0.6,6,20,10.817194054826677
0.1,0.6,6,40,15.242585419436896
0.1,0.6,6,80,22.775319385299017
0.1,0.6,12,5,5.498739266334344
0.1,0.6,12,10,7.746757623651916
0.1,0.6,12,20,10.812770449773199
0.1,0.6,12,40,15.13099216375767
0.1,0.6,12,80,21.204476919508235
0.1,0.7,3,5,6.603590332567662
0.1,0.7,3,10,9.291934359280841
0.1,0.7,3,20,13.828608102887479
0.1,0.7,3,40,22.586971188685375
0.1,0.7,3,80,40.08107029749882
0.1,0.7,6,5,6.595239871670522
0.1,0.7,6,10,9.227456896014361
0.1,0.7,6,20,12.805488438474153
0.1,0.7,6,40,17.94603499488306
0.1,0.7,6,80,25.947732965931863
0.1,0.7,12,5,6.610842740219758
0.1,0.7,12,10,9.232722513089005
0.1,0.7,12,20,12.870851379856958
0.1,0.7,12,40,17.898341906807172
0.1,0.7,12,80,25.03873841278555
0.1,0.7999999999999999,3,5,8.607123140296986
0.1,0.7999999999999999,3,10,11.802311892773561
0.1,0.7999999999999999,3,20,16.97763952372891
0.1,0.7999999999999999,3,40,26.308959016509803
0.1,0.7999999999999999,3,80,44.596046320211165
0.1,0.7999999999999999,6,5,8.580101635248694
0.1,0.7999999999999999,6,10,11.775006377370255
0.1,0.7999999999999999,6,20,16.3208842977552
0.1,0.7999999999999999,6,40,22.720807440227624
0.1,0.7999999999999999,6,80,32.149729353431745
0.1,0.7999999999999999,12,5,8.603935917721518
0.1,0.7999999999999999,12,10,11.764025984982705
0.1,0.7999999999999999,12,20,16.34704718847132
0.1,0.7999999999999999,12,40,22.767198601556334
0.1,0.7999999999999999,12,80,31.79709430827925
0.1,0.8999999999999999,3,5,13.964090464406974
0.1,0.8999999999999999,3,10,17.886720919100046
0.1,0.8999999999999999,3,20,24.85503813265542
0.1,0.8999999999999999,3,40,36.52310851790718
0.1,0.8999999999999999,3,80,57.02680237815789
0.1,0.8999999999999999,6,5,13.87158684296129
0.1,0.8999999999999999,6,10,17.928755232937743
0.1,0.8999999999999999,6,20,24.543283467292234
0.1,0.8999999999999999,6,40,34.839647139692964
0.1,0.8999999999999999,6,80,49.568228145071345
0.1,0.8999999999999999,12,5,13.963774932329962
0.1,0.8999999999999999,12,10,17.949515533681943
0.1,0.8999999999999999,12,20,24.53330270135738
0.1,0.8999999999999999,12,40,34.810396087081614
0.1,0.8999999999999999,12,80,49.52889326081086
0.2,0.0,3,5,3.2003520704974298
0.2,0.0,3,10,5.202300985024924
0.2,0.0,3,20,8.200752921083874
0.2,0.0,3,40,15.200974162391521
0.2,0.0,3,80,28.19933711875237
0.2,0.0,6,5,3.200898018862544
0.2,0.0,6,10,4.200609943325232
0.2,0.0,6,20,6.199590843173814
0.2,0.0,6,40,10.199465068115353
0.2,0.0,6,80,16.199902354908744
0.2,0.0,12,5,3.1991102554763513
0.2,0.0,12,10,4.199429592610679
0.2,0.0,12,20,6.199050822707242
0.2,0.0,12,40,9.202352256670268
0.2,0.0,12,80,13.19977447750491
0.2,0.1,3,5,3.4164389533338295
0.2,0.1,3,10,5.342996222801511
0.2,0.1,3,20,8.529203313805928
0.2,0.1,3,40,15.53397055299662
0.2,0.1,3,80,29.325130416267434
0.2,0.1,6,5,3.415810864656661
0.2,0.1,6,10,4.608117038853062
0.2,0.1,6,20,6.711984262016164
0.2,0.1,6,40,10.423269664900175
0.2,0.1,6,80,16.94728323821714
0.2,0.1,12,5,3.4155632219345855
0.2,0.1,12,10,4.612080629500125
0.2,0.1,12,20,6.715980648742962
0.2,0.1,12,40,9.684524945402115
0.2,0.1,12,80,13.675728815720952
0.2,0.2,3,5,3.6778902307186665
0.2,0.2,3,10,5.583611858077581
0.2,0.2,3,20,9.027335819067577
0.2,0.2,3,40,16.237131040795976
0.2,0.2,3,80,30.61432652860553
0.2,0.2,6,5,3.674273089302275
0.2,0.2,6,10,5.054679370890331
0.2,0.2,6,20,7.275821493942299
0.2,0.2,6,40,10.882087508898746
0.2,0.2,6,80,17.72955796587998
0.2,0.2,12,5,3.6732851199163528
0.2,0.2,12,10,5.056197246880507
0.2,0.2,12,20,7.273712973618618
0.2,0.2,12,40,10.337040434151188
0.2,0.2,12,80,14.550898301661217
0.2,0.30000000000000004,3,5,3.9947721255140554
0.2,0.30000000000000004,3,10,5.938413778726809
0.2,0.30000000000000004,3,20,9.612128391718848
0.2,0.30000000000000004,3,40,17.097143146192455
0.2,0.30000000000000004,3,80,32.051837792953854
0.2,0.30000000000000004,6,5,3.9945836765552185
0.2,0.30000000000000004,6,10,5.570418082668142
0.2,0.30000000000000004,6,20,7.926812781993004
0.2,0.30000000000000004,6,40,11.575705206509685
0.2,0.30000000000000004,6,80,18.59700768662482
0.2,0.30000000000000004,12,5,3.994881936212408
0.2,0.30000000000000004,12,10,5.5669739330091845
0.2,0.30000000000000004,12,20,7.924513018972995
0.2,0.30000000000000004,12,40,11.176699857912265
0.2,0.30000000000000004,12,80,15.737724672282535
0.2,0.4,3,5,4.408016504568229
0.2,0.4,3,10,6.454705453004332
0.2,0.4,3,20,10.321547910391565
0.2,0.4,3,40,18.111163224267013
0.2,0.4,3,80,33.67297163646639
0.2,0.4,6,5,4.412719589531405
0.2,0.4,6,10,6.189527133871365
0.2,0.4,6,20,8.736821990298397
0.2,0.4,6,40,12.541086281484612
0.2,0.4,6,80,19.699647974381012
0.2,0.4,12,5,4.4051480066630955
0.2,0.4,12,10,6.194423418824482
0.2,0.4,12,20,8.743499061416879
0.2,0.4,12,40,12.266785282269904
0.2,0.4,12,80,17.23683344885516
0.2,0.5,3,5,4.959706708268331
0.2,0.5,3,10,7.161407381081536
0.2,0.5,3,20,11.25912349705011
0.2,0.5,3,40,19.355378500970197
0.2,0.5,3,80,35.580212653175764
0.2,0.5,6,5,4.95554290931604
0.2,0.5,6,10,7.0058114103605575
0.2,0.5,6,20,9.796859550387115
0.2,0.5,6,40,13.871962762800287
0.2,0.5,6,80,21.233035575336924
0.2,0.5,12,5,4.960950721596693
0.2,0.5,12,10,6.991807207913888
0.2,0.5,12,20,9.806453020217884
0.2,0.5,12,40,13.730075632606058
0.2,0.5,12,80,19.24777326925834
0.2,0.6,3,5,5.71879876244283
0.2,0.6,3,10,8.204516403919898
0.2,0.6,3,20,12.527282273590114
0.2,0.6,3,40,20.991000107944732
0.2,0.6,3,80,37.90984287325199
0.2,0.6,6,5,5.705841966034612
0.2,0.6,6,10,8.093758649789029
0.2,0.6,6,20,11.311760710659216
0.2,0.6,6,40,15.855684166452816
0.2,0.6,6,80,23.508063535799668
0.2,0.6,12,5,5.712856613560578
0.2,0.6,12,10,8.094970406205238
0.2,0.6,12,20,11.312907933676572
0.2,0.6,12,40,15.791006525340636
0.2,0.6,12,80,22.174058390907064
0.2,0.7,3,5,6.889630194433854
0.2,0.7,3,10,9.780658102252369
0.2,0.7,3,20,14.532869644972676
0.2,0.7,3,40,23.480400773422396
0.2,0.7,3,80,41.10677188671037
0.2,0.7,6,5,6.891302857404036
0.2,0.7,6,10,9.729943131439754
