q,p,v,l,timeOnRoad
0.1,0.0,3,5,3.0999000756960435
0.1,0.0,3,10,5.100225858681229
0.1,0.0,3,20,8.099929973927479
0.1,0.0,3,40,15.100091256333597
0.1,0.0,3,80,28.09995208421791
0.1,0.0,6,5,3.0998476664308106
0.1,0.0,6,10,4.100044388539142
0.1,0.0,6,20,6.100605544363143
0.1,0.0,6,40,10.099916435659715
0.1,0.0,6,80,16.09949426280495
0.1,0.0,9,5,3.100122455076291
0.1,0.0,9,10,4.099605505446716
0.1,0.0,9,20,6.099491876209819
0.1,0.0,9,40,9.100427261999158
0.1,0.0,9,80,13.099918427563013
0.1,0.0,12,5,3.100380443975472
0.1,0.0,12,10,4.099707468519697
0.1,0.0,12,20,6.099916299876616
0.1,0.0,12,40,9.099754589449535
0.1,0.0,12,80,13.10012715020045
0.1,0.1,3,5,3.313216145524946
0.1,0.1,3,10,5.241229699753212
0.1,0.1,3,20,8.424607308771833
0.1,0.1,3,40,15.42304300188434
0.1,0.1,3,80,29.194750528188084
0.1,0.1,6,5,3.3139145675583532
0.1,0.1,6,10,4.507058633168038
0.1,0.1,6,20,6.604205466515074
0.1,0.1,6,40,10.321357636715605
0.1,0.1,6,80,16.832328417085304
0.1,0.1,9,5,3.314009740787204
0.1,0.1,9,10,4.506095358797636
0.1,0.1,9,20,6.605724981484741
0.1,0.1,9,40,9.570256203860248
0.1,0.1,9,80,13.919248246024598
0.1,0.1,12,5,3.3148568280138946
0.1,0.1,12,10,4.507152746205477
0.1,0.1,12,20,6.60669533377704
0.1,0.1,12,40,9.570691874860193
0.1,0.1,12,80,13.560740740943285
0.1,0.2,3,5,3.564702404612676
0.1,0.2,3,10,5.473455660069648
0.1,0.2,3,20,8.899530549539111
0.1,0.2,3,40,16.095663709520835
0.1,0.2,3,80,30.421896064666686
0.1,0.2,6,5,3.5650030241505695
0.1,0.2,6,10,4.940811534492953
0.1,0.2,6,20,7.142121405964637
0.1,0.2,6,40,10.756453602250565
0.1,0.2,6,80,17.588833663815965
0.1,0.2,9,5,3.565315889156774
0.1,0.2,9,10,4.942800781537591
0.1,0.2,9,20,7.143074833627394
0.1,0.2,9,40,10.192480874225947
0.1,0.2,9,80,14.771802539409496
0.1,0.2,12,5,3.5645788107409535
0.1,0.2,12,10,4.9413339051382525
0.1,0.2,12,20,7.143108969396171
0.1,0.2,12,40,10.19036389797917
0.1,0.2,12,80,14.383535795553385
0.1,0.30000000000000004,3,5,3.8737004694880293
0.1,0.30000000000000004,3,10,5.810978562483206
0.1,0.30000000000000004,3,20,9.458063953906779
0.1,0.30000000000000004,3,40,16.907234568899366
0.1,0.30000000000000004,3,80,31.786786095627246
0.1,0.30000000000000004,6,5,3.8731198816251378
0.1,0.30000000000000004,6,10,5.429025701110243
0.1,0.30000000000000004,6,20,7.757309614727072
0.1,0.30000000000000004,6,40,11.39163235884493
0.1,0.30000000000000004,6,80,18.401415497626775
0.1,0.30000000000000004,9,5,3.8753810685351793
0.1,0.30000000000000004,9,10,5.428682118385055
0.1,0.30000000000000004,9,20,7.758592354025977
0.1,0.30000000000000004,9,40,10.981851896050387
0.1,0.30000000000000004,9,80,15.769558940549377
0.1,0.30000000000000004,12,5,3.8739926842283694
0.1,0.30000000000000004,12,10,5.429416824303809
0.1,0.30000000000000004,12,20,7.76124960223482
0.1,0.30000000000000004,12,40,10.977869412784017
0.1,0.30000000000000004,12,80,15.47203272856909
0.1,0.4,3,5,4.266321442137888
0.1,0.4,3,10,6.27498865517749
0.1,0.4,3,20,10.123571879620481
0.1,0.4,3,40,17.857519936235036
0.1,0.4,3,80,33.32309150682541
0.1,0.4,6,5,4.262773718726404
0.1,0.4,6,10,6.010788570696176
0.1,0.4,6,20,8.506577960055559
0.1,0.4,6,40,12.269817571351883
0.1,0.4,6,80,19.4235112840298
0.1,0.4,9,5,4.265447635913336
0.1,0.4,9,10,6.012928740698281
0.1,0.4,9,20,8.50501984937448
0.1,0.4,9,40,11.98200542832348
0.1,0.4,9,80,17.045195565714785
0.1,0.4,12,5,4.266148325885195
0.1,0.4,12,10,6.0098350326434105
0.1,0.4,12,20,8.505265747735898
0.1,0.4,12,40,11.979866229609234
0.1,0.4,12,80,16.859267572728218
0.1,0.5,3,5,4.784076634994764
0.1,0.5,3,10,6.929861788108077
0.1,0.5,3,20,10.956178751752295
0.1,0.5,3,40,19.008828001082264
0.1,0.5,3,80,35.09902286101528
0.1,0.5,6,5,4.780252545477903
0.1,0.5,6,10,6.746897958003598
0.1,0.5,6,20,9.475369085549021
0.1,0.5,6,40,13.476974422250091
0.1,0.5,6,80,20.783772011736293
0.1,0.5,9,5,4.78172078813846
0.1,0.5,9,10,6.744942451304324
0.1,0.5,9,20,9.47217349186417
0.1,0.5,9,40,13.302843632242368
0.1,0.5,9,80,18.774652041054114
0.1,0.5,12,5,4.780841003139813
0.1,0.5,12,10,6.7476876591655826
0.1,0.5,12,20,9.481042633994578
0.1,0.5,12,40,13.303040361142722
0.1,0.5,12,80,18.692136129302284
0.1,0.6,3,5,5.502383157339069
0.1,0.6,3,10,7.861845600508158
0.1,0.6,3,20,12.09637760185568
0.1,0.6,3,40,20.487771180145064
0.1,0.6,3,80,37.2519342960475
0.1,0.6,6,5,5.502460680540005
0.1,0.6,6,10,7.745765356067639
0.1,0.6,6,20,10.809663102621553
0.1,0.6,6,40,15.22313068066712
0.1,0.6,6,80,22.748959449395738
0.1,0.6,9,5,5.504233858454119
0.1,0.6,9,10,7.747366310187504
0.1,0.6,9,20,10.813386655930453
0.1,0.6,9,40,15.125104032672334
0.1,0.6,9,80,21.24144425730763
0.1,0.6,12,5,5.504257448448635
0.1,0.6,12,10,7.745121676021809
0.1,0.6,12,20,10.808843627806523
0.1,0.6,12,40,15.117655595886946
0.1,0.6,12,80,21.201545039444387
0.1,0.7,3,5,6.603974734234826
0.1,0.7,3,10,9.296496993983885
0.1,0.7,3,20,13.825593598774645
0.1,0.7,3,40,22.602115878649343
0.1,0.7,3,80,40.09502701089019
0.1,0.7,6,5,6.600387584062341
0.1,0.7,6,10,9.22404840361143
0.1,0.7,6,20,12.819231160115667
0.1,0.7,6,40,17.915687927366367
0.1,0.7,6,80,25.94601255261441
0.1,0.7,9,5,6.604865050555119
0.1,0.7,9,10,9.226819031779433
0.1,0.7,9,20,12.819685013641175
0.1,0.7,9,40,17.873237119356098
0.1,0.7,9,80,25.031509042096996
0.1,0.7,12,5,6.604366673021651
0.1,0.7,12,10,9.23004771939006
0.1,0.7,12,20,12.8213990398022
0.1,0.7,12,40,17.86751227481779
0.1,0.7,12,80,25.00912316731386
0.1,0.7999999999999999,3,5,8.594431884250557
0.1,0.7999999999999999,3,10,11.791764810862198
0.1,0.7999999999999999,3,20,16.978239003494934
0.1,0.7999999999999999,3,40,26.293357046862184
0.1,0.7999999999999999,3,80,44.60507540057769
0.1,0.7999999999999999,6,5,8.599655515476437
0.1,0.7999999999999999,6,10,11.769528687920408
0.1,0.7999999999999999,6,20,16.322377371949013
0.1,0.7999999999999999,6,40,22.711972732767567
0.1,0.7999999999999999,6,80,32.095781251785986
0.1,0.7999999999999999,9,5,8.591047250065195
0.1,0.7999999999999999,9,10,11.76293066896484
0.1,0.7999999999999999,9,20,16.325949345669066
0.1,0.7999999999999999,9,40,22.693000158253035
0.1,0.7999999999999999,9,80,31.734094427439963
0.1,0.7999999999999999,12,5,8.592718697529609
0.1,0.7999999999999999,12,10,11.769842009483735
0.1,0.7999999999999999,12,20,16.331933315192025
0.1,0.7999999999999999,12,40,22.709757118407563
0.1,0.7999999999999999,12,80,31.743676226742505
0.1,0.8999999999999999,3,5,14.006342977906623
0.1,0.8999999999999999,3,10,17.948357349046745
0.1,0.8999999999999999,3,20,24.79332457656295
0.1,0.8999999999999999,3,40,36.28167381263929
0.1,0.8999999999999999,3,80,56.649246334558754
0.1,0.8999999999999999,6,5,13.99509704727852
0.1,0.8999999999999999,6,10,17.972395866787476
0.1,0.8999999999999999,6,20,24.562893973322137
0.1,0.8999999999999999,6,40,34.722128673036806
0.1,0.8999999999999999,6,80,49.19134280853926
0.1,0.8999999999999999,9,5,14.008808921403922
0.1,0.8999999999999999,9,10,17.950321132133073
0.1,0.8999999999999999,9,20,24.48914971531858
0.1,0.8999999999999999,9,40,34.66384542640529
0.1,0.8999999999999999,9,80,49.049248661007404
0.1,0.8999999999999999,12,5,13.9853915356027
0.1,0.8999999999999999,12,10,17.95021077823031
0.1,0.8999999999999999,12,20,24.505599349440992
0.1,0.8999999999999999,12,40,34.69967112331817
0.1,0.8999999999999999,12,80,49.129074602810284
0.2,0.0,3,5,3.2001991403211587
0.2,0.0,3,10,5.1998373213772755
0.2,0.0,3,20,8.199971382773892
0.2,0.0,3,40,15.199898271391724
0.2,0.0,3,80,28.199766473250172
0.2,0.0,6,5,3.2002471014388267
0.2,0.0,6,10,4.200106319295692
0.2,0.0,6,20,6.199747547538034
0.2,0.0,6,40,10.19975867634262
0.2,0.0,6,80,16.200465237937717
0.2,0.0,9,5,3.2001956491694674
0.2,0.0,9,10,4.199739725786945
0.2,0.0,9,20,6.1995530211024565
0.2,0.0,9,40,9.199905210794682
0.2,0.0,9,80,13.200145773195626
0.2,0.0,12,5,3.199347555286556
0.2,0.0,12,10,4.199418096492132
0.2,0.0,12,20,6.200523769221407
0.2,0.0,12,40,9.199884859587225
0.2,0.0,12,80,13.199538051198646
0.2,0.1,3,5,3.4160380735687355
0.2,0.1,3,10,5.343135083472442
0.2,0.1,3,20,8.52989122356271
0.2,0.1,3,40,15.532888107453234
0.2,0.1,3,80,29.326598512917005
0.2,0.1,6,5,3.416364209495649
0.2,0.1,6,10,4.611154451324273
0.2,0.1,6,20,6.713350719374365
0.2,0.1,6,40,10.425076522363394
0.2,0.1,6,80,16.944228896236257
0.2,0.1,9,5,3.4155776653310417
0.2,0.1,9,10,4.610301038221433
0.2,0.1,9,20,6.713124359239534
0.2,0.1,9,40,9.682019496812025
0.2,0.1,9,80,14.037485956737955
0.2,0.1,12,5,3.4156347016747857
0.2,0.1,12,10,4.609633549831896
0.2,0.1,12,20,6.712640353761365
0.2,0.1,12,40,9.681017660485644
0.2,0.1,12,80,13.673858916694133
0.2,0.2,3,5,3.6736120642062917
0.2,0.2,3,10,5.582330376312407
0.2,0.2,3,20,9.022621715683876
0.2,0.2,3,40,16.236820500748593
0.2,0.2,3,80,30.6133994320451
0.2,0.2,6,5,3.674404445492239
0.2,0.2,6,10,5.056713131186763
0.2,0.2,6,20,7.273407144906594
0.2,0.2,6,40,10.885163855681311
0.2,0.2,6,80,17.72858275503098
0.2,0.2,9,5,3.6746823787989054
0.2,0.2,9,10,5.057258361695118
0.2,0.2,9,20,7.270987530274646
0.2,0.2,9,40,10.336922683086517
0.2,0.2,9,80,14.934800946065762
