q,p,v,l,timeOnRoad
0.1,0.0,3,80,28.09967559235733
0.1,0.0,6,80,16.100160348017322
0.1,0.0,9,80,13.100627051785798
0.1,0.0,12,80,13.099843119625907
0.1,0.1,3,80,29.194598664158146
0.1,0.1,6,80,16.832391744792666
0.1,0.1,9,80,13.918332687001381
0.1,0.1,12,80,13.559134118769187
0.1,0.2,3,80,30.423548781714636
0.1,0.2,6,80,17.59148229812491
0.1,0.2,9,80,14.77310698508873
0.1,0.2,12,80,14.381347411503041
0.1,0.30000000000000004,3,80,31.783438568572556
0.1,0.30000000000000004,6,80,18.403286612242415
0.1,0.30000000000000004,9,80,15.768466402417168
0.1,0.30000000000000004,12,80,15.470878004719113
0.1,0.4,3,80,33.32376636463355
0.1,0.4,6,80,19.41876429155312
0.1,0.4,9,80,17.041010210804437
0.1,0.4,12,80,16.862512979099442
0.1,0.5,3,80,35.09852005889187
0.1,0.5,6,80,20.791711061783385
0.1,0.5,9,80,18.77242936486667
0.1,0.5,12,80,18.68754824395749
0.1,0.6,3,80,37.252211490054485
0.1,0.6,6,80,22.764883719882267
0.1,0.6,9,80,21.24327645803024
0.1,0.6,12,80,21.19522879371223
0.1,0.7,3,80,40.1012082140848
0.1,0.7,6,80,25.9488374075016
0.1,0.7,9,80,25.030482792477976
0.1,0.7,12,80,25.019661847165416
0.1,0.7999999999999999,3,80,44.61761050377092
0.1,0.7999999999999999,6,80,32.08674307463627
0.1,0.7999999999999999,9,80,31.76652147538519
0.1,0.7999999999999999,12,80,31.77209411757368
0.1,0.8999999999999999,3,80,56.65248859405336
0.1,0.8999999999999999,6,80,49.19871155249473
0.1,0.8999999999999999,9,80,49.17972974948439
0.1,0.8999999999999999,12,80,49.07222562205434
0.2,0.0,3,80,28.20024909769433
0.2,0.0,6,80,16.199317553654993
0.2,0.0,9,80,13.199945696548355
0.2,0.0,12,80,13.199992245308342
0.2,0.1,3,80,29.32551437052139
0.2,0.1,6,80,16.943784587825945
0.2,0.1,9,80,14.037040365931517
0.2,0.1,12,80,13.67377632293627
0.2,0.2,3,80,30.61392512054322
0.2,0.2,6,80,17.72739121450067
0.2,0.2,9,80,14.935601913400193
0.2,0.2,12,80,14.550460770354833
0.2,0.30000000000000004,3,80,32.048141738421634
0.2,0.30000000000000004,6,80,18.591715717243464
0.2,0.30000000000000004,9,80,16.004773946147083
0.2,0.30000000000000004,12,80,15.728391090091202
0.2,0.4,3,80,33.67139031260764
0.2,0.4,6,80,19.707476660623133
0.2,0.4,9,80,17.40298180406807
0.2,0.4,12,80,17.24637874068095
0.2,0.5,3,80,35.57262374948092
0.2,0.5,6,80,21.235341552851402
0.2,0.5,9,80,19.340938228199626
0.2,0.5,12,80,19.264276018953314
0.2,0.6,3,80,37.9136827971236
0.2,0.6,6,80,23.51898521693597
0.2,0.6,9,80,22.145511232531458
0.2,0.6,12,80,22.11972665418171
0.2,0.7,3,80,41.13562719120501
0.2,0.7,6,80,27.418937162407726
0.2,0.7,9,80,26.64486154161325
0.2,0.7,12,80,26.62914642909294
0.2,0.7999999999999999,3,80,46.88447495646774
0.2,0.7999999999999999,6,80,35.66322939292985
0.2,0.7999999999999999,9,80,35.528067874663634
0.2,0.7999999999999999,12,80,35.43429536717456
0.2,0.8999999999999999,3,80,67.59678680610669
0.2,0.8999999999999999,6,80,63.09907801572004
0.2,0.8999999999999999,9,80,63.451775755388255
0.2,0.8999999999999999,12,80,63.01063168889347
0.30000000000000004,0.0,3,80,28.29995493776817
0.30000000000000004,0.0,6,80,16.299106822129172
0.30000000000000004,0.0,9,80,13.30022991064501
0.30000000000000004,0.0,12,80,13.299975274192331
0.30000000000000004,0.1,3,80,29.457395856129356
0.30000000000000004,0.1,6,80,17.055791930829766
0.30000000000000004,0.1,9,80,14.156521275109846
0.30000000000000004,0.1,12,80,13.789864865549818
0.30000000000000004,0.2,3,80,30.81128241983304
0.30000000000000004,0.2,6,80,17.867183752717164
0.30000000000000004,0.2,9,80,15.097529477660164
0.30000000000000004,0.2,12,80,14.721608570549867
0.30000000000000004,0.30000000000000004,3,80,32.339890973607154
0.30000000000000004,0.30000000000000004,6,80,18.792576400526052
0.30000000000000004,0.30000000000000004,9,80,16.253706464383225
0.30000000000000004,0.30000000000000004,12,80,15.990128028958804
0.30000000000000004,0.4,3,80,34.099364356900026
0.30000000000000004,0.4,6,80,20.020397396002817
0.30000000000000004,0.4,9,80,17.799493177396908
0.30000000000000004,0.4,12,80,17.661237715132177
0.30000000000000004,0.5,3,80,36.19272256171425
0.30000000000000004,0.5,6,80,21.77114998606943
0.30000000000000004,0.5,9,80,19.98764815834405
0.30000000000000004,0.5,12,80,19.930870738122927
0.30000000000000004,0.6,3,80,38.86915928024841
0.30000000000000004,0.6,6,80,24.500719038483968
0.30000000000000004,0.6,9,80,23.266258216433105
0.30000000000000004,0.6,12,80,23.251379743183765
0.30000000000000004,0.7,3,80,42.81243580107481
0.30000000000000004,0.7,6,80,29.52210450691605
0.30000000000000004,0.7,9,80,28.899068541135733
0.30000000000000004,0.7,12,80,28.871661542993575
0.30000000000000004,0.7999999999999999,3,80,50.51615939371501
0.30000000000000004,0.7999999999999999,6,80,41.09407755541535
0.30000000000000004,0.7999999999999999,9,80,40.93868333123581
0.30000000000000004,0.7999999999999999,12,80,40.945620463578564
0.30000000000000004,0.8999999999999999,3,80,78.66512635437215
0.30000000000000004,0.8999999999999999,6,80,76.4789548245794
0.30000000000000004,0.8999999999999999,9,80,76.1453125809822
0.30000000000000004,0.8999999999999999,12,80,76.7336308412206
0.4,0.0,3,80,28.39986131487485
0.4,0.0,6,80,16.399236178939777
0.4,0.0,9,80,13.399647302407262
0.4,0.0,12,80,13.399709728708075
0.4,0.1,3,80,29.587542115904647
0.4,0.1,6,80,17.165885455653537
0.4,0.1,9,80,14.272249861111153
0.4,0.1,12,80,13.902027306263426
0.4,0.2,3,80,31.019206761773166
0.4,0.2,6,80,18.00544018548925
0.4,0.2,9,80,15.25854193357357
0.4,0.2,12,80,14.892826305681156
0.4,0.30000000000000004,3,80,32.68009911036576
0.4,0.30000000000000004,6,80,18.99582450252526
0.4,0.30000000000000004,9,80,16.506782851446346
0.4,0.30000000000000004,12,80,16.261268266226324
0.4,0.4,3,80,34.63637135551159
0.4,0.4,6,80,20.359819589954988
0.4,0.4,9,80,18.22701809174527
0.4,0.4,12,80,18.10700901471979
0.4,0.5,3,80,37.0739352433444
0.4,0.5,6,80,22.387366128800988
0.4,0.5,9,80,20.719314304764875
0.4,0.5,12,80,20.667561327552693
0.4,0.6,3,80,40.314429087177444
0.4,0.6,6,80,25.704196173084988
0.4,0.6,9,80,24.61449202238323
0.4,0.6,12,80,24.599471281808906
0.4,0.7,3,80,45.23960951575153
0.4,0.7,6,80,32.06924887930553
0.4,0.7,9,80,31.523126693757515
0.4,0.7,12,80,31.535762641123846
0.4,0.7999999999999999,3,80,54.51811829026377
0.4,0.7999999999999999,6,80,46.44253123366034
0.4,0.7999999999999999,9,80,45.969060084967055
0.4,0.7999999999999999,12,80,46.477286987758276
0.4,0.8999999999999999,3,80,84.79823593795562
0.4,0.8999999999999999,6,80,83.68140685028848
0.4,0.8999999999999999,9,80,83.92583713623922
0.4,0.8999999999999999,12,80,84.1743922694298
0.5,0.0,3,80,28.499744865144816
0.5,0.0,6,80,16.499661117498768
0.5,0.0,9,80,13.49999135874245
0.5,0.0,12,80,13.500147068337622
0.5,0.1,3,80,29.716981554494406
0.5,0.1,6,80,17.275226636065977
0.5,0.1,9,80,14.387631499782938
0.5,0.1,12,80,14.014779597393119
0.5,0.2,3,80,31.2339138145159
0.5,0.2,6,80,18.144087793878594
0.5,0.2,9,80,15.417027325361772
0.5,0.2,12,80,15.059402459200035
0.5,0.30000000000000004,3,80,33.06888887415354
0.5,0.30000000000000004,6,80,19.206948661414522
0.5,0.30000000000000004,9,80,16.762990761156505
0.5,0.30000000000000004,12,80,16.53591070549039
0.5,0.4,3,80,35.379507703876264
0.5,0.4,6,80,20.71785306384416
0.5,0.4,9,80,18.672018416680334
0.5,0.4,12,80,18.552624470997653
0.5,0.5,3,80,38.37768451627795
0.5,0.5,6,80,23.0583900560124
0.5,0.5,9,80,21.518862665957357
0.5,0.5,12,80,21.461811889124732
0.5,0.6,3,80,42.29799361195737
0.5,0.6,6,80,27.021459433841855
0.5,0.6,9,80,26.05379163478662
0.5,0.6,12,80,26.055164927185174
0.5,0.7,3,80,47.55220212192685
0.5,0.7,6,80,34.560386699467664
0.5,0.7,9,80,33.986533189436955
0.5,0.7,12,80,33.97119802009822
0.5,0.7999999999999999,3,80,57.09178637008616
0.5,0.7999999999999999,6,80,49.66686650763988
0.5,0.7999999999999999,9,80,49.52106068688216
0.5,0.7999999999999999,12,80,49.37925940500135
0.5,0.8999999999999999,3,80,88.1832983451139
0.5,0.8999999999999999,6,80,88.2568589445409
0.5,0.8999999999999999,9,80,87.76886627369254
0.5,0.8999999999999999,12,80,88.11216520613256
0.6,0.0,3,80,28.600016207064826
0.6,0.0,6,80,16.599933175634483
0.6,0.0,9,80,13.600085029111021
0.6,0.0,12,80,13.59991219819753
0.6,0.1,3,80,29.84188303203953
0.6,0.1,6,80,17.383702641937596
0.6,0.1,9,80,14.50056688704407
0.6,0.1,12,80,14.125234391901365
0.6,0.2,3,80,31.453698534013828
0.6,0.2,6,80,18.278335212680712
0.6,0.2,9,80,15.568890864612182
0.6,0.2,12,80,15.219487515646643
0.6,0.30000000000000004,3,80,33.54189367600369
0.6,0.30000000000000004,6,80,19.408988649055907
0.6,0.30000000000000004,9,80,17.015317900870524
0.6,0.30000000000000004,12,80,16.789341550589118
0.6,0.4,3,80,36.40234663279492
0.6,0.4,6,80,21.084609176882765
0.6,0.4,9,80,19.104176788167987
0.6,0.4,12,80,19.001074924596306
0.6,0.5,3,80,40.022694670283336
0.6,0.5,6,80,23.732737911954786
