q,p,v,l,timeOnRoad
0.1,0.0,3,5,3.0990963138439156
0.1,0.0,3,10,5.100065728310837
0.1,0.0,3,20,8.100594262338852
0.1,0.0,3,40,15.099192771020398
0.1,0.0,3,80,28.100178281346906
0.1,0.0,6,5,3.1009510524650823
0.1,0.0,6,10,4.099485721972086
0.1,0.0,6,20,6.098802927140184
0.1,0.0,6,40,10.100010959593291
0.1,0.0,6,80,16.10025547295214
0.1,0.0,9,5,3.0994703803460864
0.1,0.0,9,10,4.099651062161717
0.1,0.0,9,20,6.099034771641786
0.1,0.0,9,40,9.100420524210467
0.1,0.0,9,80,13.09937296915597
0.1,0.0,12,5,3.1000990387082674
0.1,0.0,12,10,4.10094254440875
0.1,0.0,12,20,6.098768259218694
0.1,0.0,12,40,9.098525752708749
0.1,0.0,12,80,13.099335464611231
0.1,0.1,3,5,3.312165813749144
0.1,0.1,3,10,5.242881640671501
0.1,0.1,3,20,8.425937929673966
0.1,0.1,3,40,15.418881027335773
0.1,0.1,3,80,29.197865398691203
0.1,0.1,6,5,3.3137300064720256
0.1,0.1,6,10,4.510702675026433
0.1,0.1,6,20,6.609356151347253
0.1,0.1,6,40,10.322882605893797
0.1,0.1,6,80,16.834523103513416
0.1,0.1,9,5,3.3121382585395027
0.1,0.1,9,10,4.5025286884229105
0.1,0.1,9,20,6.603612808134226
0.1,0.1,9,40,9.570697409641674
0.1,0.1,9,80,13.92146548304803
0.1,0.1,12,5,3.3151499136642504
0.1,0.1,12,10,4.5088555499039735
0.1,0.1,12,20,6.60292131844099
0.1,0.1,12,40,9.571704783690388
0.1,0.1,12,80,13.562174782251294
0.1,0.2,3,5,3.564671654334067
0.1,0.2,3,10,5.472879548559941
0.1,0.2,3,20,8.89959336991174
0.1,0.2,3,40,16.09468659367759
0.1,0.2,3,80,30.41910093862898
0.1,0.2,6,5,3.562931368410962
0.1,0.2,6,10,4.942783109909427
0.1,0.2,6,20,7.144884682528713
0.1,0.2,6,40,10.755203708330212
0.1,0.2,6,80,17.58950842258312
0.1,0.2,9,5,3.5667206610731856
0.1,0.2,9,10,4.9377461914254415
0.1,0.2,9,20,7.143655535614931
0.1,0.2,9,40,10.194157284716193
0.1,0.2,9,80,14.786271073085635
0.1,0.2,12,5,3.5681816307664813
0.1,0.2,12,10,4.943494383418377
0.1,0.2,12,20,7.139781919862636
0.1,0.2,12,40,10.191392117367297
0.1,0.2,12,80,14.385479084128525
0.1,0.30000000000000004,3,5,3.8746393350791934
0.1,0.30000000000000004,3,10,5.815327878469044
0.1,0.30000000000000004,3,20,9.460579427803415
0.1,0.30000000000000004,3,40,16.906355403347842
0.1,0.30000000000000004,3,80,31.77579078887461
0.1,0.30000000000000004,6,5,3.873475084570068
0.1,0.30000000000000004,6,10,5.424721301695956
0.1,0.30000000000000004,6,20,7.76724755922562
0.1,0.30000000000000004,6,40,11.397960405858163
0.1,0.30000000000000004,6,80,18.39980247380099
0.1,0.30000000000000004,9,5,3.873629946711054
0.1,0.30000000000000004,9,10,5.431966446266757
0.1,0.30000000000000004,9,20,7.753103749476339
0.1,0.30000000000000004,9,40,10.981890471284917
0.1,0.30000000000000004,9,80,15.779807195448575
0.1,0.30000000000000004,12,5,3.8748392957176323
0.1,0.30000000000000004,12,10,5.430182176240487
0.1,0.30000000000000004,12,20,7.762632598703824
0.1,0.30000000000000004,12,40,10.977230829244853
0.1,0.30000000000000004,12,80,15.469538576609068
0.1,0.4,3,5,4.262651575126843
0.1,0.4,3,10,6.277507419465727
0.1,0.4,3,20,10.116804366040135
0.1,0.4,3,40,17.859213071487304
0.1,0.4,3,80,33.32762809951398
0.1,0.4,6,5,4.2655610555212675
0.1,0.4,6,10,6.011543695967003
0.1,0.4,6,20,8.507493090595647
0.1,0.4,6,40,12.260620790499251
0.1,0.4,6,80,19.4268734778309
0.1,0.4,9,5,4.266065337105373
0.1,0.4,9,10,6.0023346105698305
0.1,0.4,9,20,8.500989084369936
0.1,0.4,9,40,11.986447339063641
0.1,0.4,9,80,17.04061444880784
0.1,0.4,12,5,4.270218282600065
0.1,0.4,12,10,6.010473892306307
0.1,0.4,12,20,8.503612917581862
0.1,0.4,12,40,11.968812372565361
0.1,0.4,12,80,16.86084496521305
0.1,0.5,3,5,4.784402899281009
0.1,0.5,3,10,6.942512357779706
0.1,0.5,3,20,10.960571763143086
0.1,0.5,3,40,19.0122741673354
0.1,0.5,3,80,35.105261399080725
0.1,0.5,6,5,4.790690022540023
0.1,0.5,6,10,6.744915415433285
0.1,0.5,6,20,9.478661302554627
0.1,0.5,6,40,13.483569960686086
0.1,0.5,6,80,20.791158444434647
0.1,0.5,9,5,4.783413269333082
0.1,0.5,9,10,6.748493240488796
0.1,0.5,9,20,9.455626824116134
0.1,0.5,9,40,13.307464789524799
0.1,0.5,9,80,18.77490895034213
0.1,0.5,12,5,4.790336719617674
0.1,0.5,12,10,6.75223299712733
0.1,0.5,12,20,9.47657087694381
0.1,0.5,12,40,13.297612690151302
0.1,0.5,12,80,18.6774449240539
0.1,0.6,3,5,5.49362422165595
0.1,0.6,3,10,7.8520802558106375
